Mac1,Mac2,peso
426,638,47
426,149,31
697,113,30
113,426,29
149,320,29
61079,426,28
697,426,24
813,426,24
254,426,23
61079,113,22
638,582,22
113,638,22
254,320,21
813,320,21
638,149,21
813,149,20
813,254,19
813,638,19
1337,425,19
61079,638,18
751,149,18
1292,425,18
1337,320,18
1292,1337,18
13813,18390,17
426,425,17
61079,813,17
638,39,16
813,271,16
638,320,16
113,320,16
1252,425,16
1292,320,16
1337,1228,16
813,6840,15
61079,254,15
113,34101,15
813,582,15
149,425,15
813,291,15
426,1337,14
61079,582,14
113,254,14
58,149,14
751,320,14
39,320,14
813,827,14
149,135,14
247,320,14
426,271,14
426,1378,13
426,44842,13
254,638,13
213,638,13
291,320,13
1337,1252,13
697,320,13
426,738,13
638,1292,13
638,1337,13
103,149,13
1228,1252,13
1243,1292,13
1228,425,13
426,247,12
113,149,12
61079,697,12
426,9939,12
34724,638,12
61079,320,12
426,39,12
324,425,12
813,247,12
11071,3571,12
324,1292,12
426,1228,12
2160,2155,12
813,1565,12
61079,1378,12
426,291,11
813,213,11
1425,320,11
247,638,11
12120,1292,11
113,7145,11
813,2970,11
119105,638,11
813,39,11
697,638,11
697,149,11
663,149,11
1292,1228,11
638,9939,11
113,1429,11
119105,127599,11
57266,638,11
1216,1211,11
254,149,11
320,827,11
294,1228,11
61079,247,11
1337,38924,11
61079,1292,11
426,2306,11
1337,149,11
81549,1292,11
638,425,11
61079,1216,11
813,425,10
299,638,10
3931,1337,10
324,1337,10
113,39,10
813,1232,10
113,738,10
1378,149,10
697,2306,10
813,44842,10
320,135,10
1216,2811,10
1378,320,10
14671,2811,10
425,271,10
15160,1337,10
254,1378,10
39,1292,10
61079,425,10
61079,64612,10
426,1542,10
813,1252,10
426,39437,10
992,335,10
426,320,10
5992,1292,10
3324,638,10
426,827,10
813,4929,10
638,1228,10
813,2011,9
149,271,9
61079,34101,9
119105,5477,9
119105,81549,9
697,254,9
61079,62023,9
1039,582,9
34101,582,9
2011,638,9
426,299,9
320,425,9
320,582,9
61079,39,9
131,149,9
61079,465,9
465,425,9
465,271,9
7419,24249,9
992,320,9
61079,1337,9
638,18390,9
638,13611,9
324,320,9
61079,2970,9
426,1019,9
39,7145,9
61079,7145,9
61079,9939,9
61079,11071,9
638,745,9
813,156,9
113,1337,9
638,91,9
113,247,9
113,2970,9
813,34101,9
271,582,9
113,81549,9
291,1228,9
4929,1337,9
213,34101,9
638,782,8
15160,320,8
213,149,8
18390,827,8
813,1378,8
638,7404,8
3324,149,8
638,2306,8
813,34724,8
7145,582,8
34724,320,8
697,39437,8
426,7145,8
119105,1337,8
119105,271,8
324,1429,8
992,62023,8
697,247,8
254,34101,8
697,291,8
1425,149,8
254,13611,8
1378,3689,8
751,425,8
992,291,8
784,320,8
426,745,8
131,320,8
5992,425,8
8,638,8
254,131,8
426,213,8
5992,638,8
5992,1252,8
5992,1337,8
426,582,8
254,582,8
61079,2811,8
813,465,8
34724,18390,8
1292,1252,8
34101,638,8
291,638,8
320,9939,8
813,40,8
39,582,8
39,271,8
4122,18390,8
149,582,8
149,827,8
61079,324,8
1228,320,8
807,320,8
807,1337,8
24249,9939,8
1378,1228,8
426,34101,8
1337,1429,8
1019,149,8
813,1019,7
813,992,7
426,7419,7
426,6840,7
3571,425,7
247,271,7
813,663,7
113,9939,7
247,149,7
294,324,7
813,324,7
294,320,7
813,38924,7
813,39437,7
1228,271,7
119105,119096,7
738,149,7
813,10744,7
119105,95036,7
4122,638,7
2811,320,7
119105,9939,7
209,320,7
113,992,7
638,135,7
113,1228,7
113,1252,7
3355,320,7
813,2811,7
638,383,7
61079,39437,7
2313,426,7
119105,57266,7
2011,320,7
247,1337,7
1228,149,7
813,1337,7
247,81549,7
61079,106581,7
813,1216,7
813,102,7
813,131,7
11071,582,7
813,9939,7
426,324,7
335,320,7
1228,9939,7
426,131,7
61079,1228,7
81,149,7
61079,1019,7
61079,827,7
16,24,7
61079,40,7
61079,745,7
131,638,7
61079,213,7
11071,638,7
61079,291,7
61079,294,7
465,1252,7
426,335,7
13813,320,7
426,383,7
254,291,7
426,3977,7
39,465,7
12677,149,7
61062,1252,7
254,1565,7
156,320,7
199,149,7
156,1337,7
34101,320,7
61079,119096,7
39,9939,7
1378,156,7
39,13611,7
61079,2306,7
1378,39437,7
5992,1425,7
11071,320,7
113,425,7
1292,38924,7
1039,149,7
813,64501,7
25187,638,7
324,1252,7
8186,271,7
13600,6789,7
149,7145,7
149,782,7
4583,149,7
100502,100494,7
61079,81549,7
697,2811,7
14767,426,7
426,15160,7
149,1546,7
149,1429,7
6189,149,7
31537,638,7
612,638,7
807,271,7
697,1378,7
6840,320,7
294,271,6
426,33512,6
213,827,6
813,383,6
294,247,6
119096,106399,6
25187,320,6
149,3153,6
992,149,6
113,62023,6
426,1292,6
813,299,6
320,102,6
992,39,6
320,145,6
320,271,6
1211,2811,6
254,425,6
543,8,6
1205,320,6
7419,135,6
863,149,6
294,425,6
247,324,6
119096,9939,6
34101,2970,6
1425,426,6
294,1252,6
612,827,6
1378,64501,6
66617,66622,6
697,213,6
299,39,6
426,43117,6
543,320,6
426,1509,6
543,149,6
11071,254,6
51,426,6
1039,324,6
113,34724,6
3689,638,6
1292,1429,6
426,3689,6
40,33512,6
813,13826,6
426,3571,6
6840,149,6
663,638,6
61079,6840,6
663,582,6
254,827,6
426,2970,6
3931,638,6
663,320,6
3969,426,6
5477,39,6
813,8,6
426,992,6
697,1252,6
291,1252,6
12677,426,6
12677,425,6
426,782,6
39,149,6
8098,149,6
738,320,6
247,7145,6
28449,28628,6
320,1252,6
33512,582,6
39,425,6
320,1429,6
61079,87511,6
5992,2970,6
61079,3689,6
3355,149,6
813,782,6
34724,4122,6
113,1425,6
8,425,6
638,271,6
294,57266,6
294,1337,6
827,582,6
807,149,6
119105,34101,6
61079,131,6
2306,149,6
807,1378,6
2306,91,6
425,7145,6
335,1211,6
638,1252,6
71859,1337,6
2011,149,6
3977,3689,6
113,4929,6
813,1546,6
638,156,6
5992,324,6
2011,271,6
81549,324,6
113,299,6
15160,149,6
61079,57266,6
1378,57266,6
1378,1337,6
61079,299,6
64612,638,6
119105,425,6
294,1292,6
64612,425,6
324,271,6
39437,1228,6
426,9313,6
113,782,6
3969,14959,6
324,638,6
324,1228,6
61079,49509,6
113,1292,6
638,3571,6
1292,86454,6
294,426,6
109568,109440,6
1337,127599,6
697,34724,6
113,6678,6
61079,24249,6
638,15160,6
81,813,6
807,638,6
247,1228,6
247,1292,6
1228,3355,6
14671,1216,6
11071,1292,6
34101,79521,6
813,1228,6
320,72643,6
254,39,6
2180,149,6
426,18390,6
638,7145,6
109760,109440,6
697,34101,6
3324,320,6
1425,8,6
3355,1252,6
